Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
670,"K Joulain, JP Mulet, F Marquier, R Carminati…","Surface electromagnetic waves thermally excited: Radiative heat transfer, coherence properties and Casimir forces revisited in the near field",2005,"Surface Science …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0167572905000105","https://scholar.google.com/scholar?cites=10828095667028515458&as_sdt=5,33&sciodt=0,33&hl=en&num=20",1,"2018-12-02","HTML","","","",,,,,670,51.54,134,5,13
573,"S Shen, A Narayanaswamy, G Chen","Surface phonon polaritons mediated energy transfer between nanoscale gaps",2009,"Nano letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/nl901208v","https://scholar.google.com/scholar?cites=16983340707240520370&as_sdt=5,33&sciodt=0,33&hl=en&num=20",2,"2018-12-02","","","","",,,,,573,63.67,191,3,9
473,"DG Cahill, PV Braun, G Chen, DR Clarke…","Nanoscale thermal transport. II. 2003–2012",2014,"Applied physics …","aip.scitation.org","https://aip.scitation.org/doi/abs/10.1063/1.4832615","https://scholar.google.com/scholar?cites=2668065691411620812&as_sdt=5,33&sciodt=0,33&hl=en&num=20",3,"2018-12-02","","","","",,,,,473,118.25,95,5,4
485,"E Rousseau, A Siria, G Jourdan, S Volz, F Comin…","Radiative heat transfer at the nanoscale",2009,"Nature …","nature.com","https://www.nature.com/articles/nphoton.2009.144","https://scholar.google.com/scholar?cites=13913904293181886456&as_sdt=5,33&sciodt=0,33&hl=en&num=20",4,"2018-12-02","","","","",,,,,485,53.89,81,6,9
461,"AI Volokitin, BNJ Persson","Near-field radiative heat transfer and noncontact friction",2007,"Reviews of Modern Physics","APS","https://journals.aps.org/rmp/abstract/10.1103/RevModPhys.79.1291","https://scholar.google.com/scholar?cites=1655388769418101330&as_sdt=5,33&sciodt=0,33&hl=en&num=20",5,"2018-12-02","","","","",,,,,461,41.91,231,2,11
385,"JB Pendry","Radiative exchange of heat between nanostructures",1999,"Journal of Physics: Condensed Matter","iopscience.iop.org","http://iopscience.iop.org/article/10.1088/0953-8984/11/35/301/meta","https://scholar.google.com/scholar?cites=18415019297782455419&as_sdt=5,33&sciodt=0,33&hl=en&num=20",6,"2018-12-02","","","","",,,,,385,20.26,385,1,19
348,"A Kittel, W Müller-Hirsch, J Parisi, SA Biehs, D Reddig…","Near-field heat transfer in a scanning thermal microscope",2005,"Physical review …","APS","https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.95.224301","https://scholar.google.com/scholar?cites=8540046174590430180&as_sdt=5,33&sciodt=0,33&hl=en&num=20",7,"2018-12-02","","","","",,,,,348,26.77,58,6,13
305,"A Narayanaswamy, G Chen","Surface modes for near field thermophotovoltaics",2003,"Applied Physics Letters","aip.scitation.org","https://aip.scitation.org/doi/abs/10.1063/1.1575936","https://scholar.google.com/scholar?cites=11517349644977087070&as_sdt=5,33&sciodt=0,33&hl=en&num=20",8,"2018-12-02","","","","",,,,,305,20.33,153,2,15
315,"S Basu, ZM Zhang, CJ Fu","Review of near‐field thermal radiation and its application to energy conversion",2009,"International Journal of Energy …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/er.1607","https://scholar.google.com/scholar?cites=4265580248911435398&as_sdt=5,33&sciodt=0,33&hl=en&num=20",9,"2018-12-02","","","","",,,,,315,35.00,105,3,9
301,"JP Mulet, K Joulain, R Carminati…","Enhanced radiative heat transfer at nanometric distances",2002,"Microscale …","Taylor & Francis","https://www.tandfonline.com/doi/abs/10.1080/10893950290053321","https://scholar.google.com/scholar?cites=4586807206498015711&as_sdt=5,33&sciodt=0,33&hl=en&num=20",10,"2018-12-02","","","","",,,,,301,18.81,75,4,16
296,"M Laroche, R Carminati, JJ Greffet","Near-field thermophotovoltaic energy conversion",2006,"Journal of Applied Physics","aip.scitation.org","https://aip.scitation.org/doi/abs/10.1063/1.2234560","https://scholar.google.com/scholar?cites=12399029866912018516&as_sdt=5,33&sciodt=0,33&hl=en&num=20",11,"2018-12-02","","","","",,,,,296,24.67,99,3,12
269,"JP Mulet, K Joulain, R Carminati…","Nanoscale radiative heat transfer between a small particle and a plane surface",2001,"Applied Physics …","aip.scitation.org","https://aip.scitation.org/doi/abs/10.1063/1.1370118","https://scholar.google.com/scholar?cites=12113543163344397741&as_sdt=5,33&sciodt=0,33&hl=en&num=20",12,"2018-12-02","","","","",,,,,269,15.82,67,4,17
255,"RS Ottens, V Quetschke, S Wise, AA Alemi…","Near-field radiative heat transfer between macroscopic planar surfaces",2011,"Physical Review Letters","APS","https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.107.014301","https://scholar.google.com/scholar?cites=7571183544041898958&as_sdt=5,33&sciodt=0,33&hl=en&num=20",13,"2018-12-02","","","","",,,,,255,36.43,51,5,7
263,"CR Otey, WT Lau, S Fan","Thermal rectification through vacuum",2010,"Physical Review Letters","APS","https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.104.154301","https://scholar.google.com/scholar?cites=13281575931245277821&as_sdt=5,33&sciodt=0,33&hl=en&num=20",14,"2018-12-02","","","","",,,,,263,32.88,88,3,8
245,"AI Volokitin, BNJ Persson","Radiative heat transfer between nanostructures",2001,"Physical Review B","APS","https://journals.aps.org/prb/abstract/10.1103/PhysRevB.63.205404","https://scholar.google.com/scholar?cites=16509968378847543610&as_sdt=5,33&sciodt=0,33&hl=en&num=20",15,"2018-12-02","","","","",,,,,245,14.41,123,2,17
231,"ND Mankame, GK Ananthasuresh","Comprehensive thermal modelling and characterization of an electro-thermal-compliant microactuator",2001,"Journal of Micromechanics …","iopscience.iop.org","http://iopscience.iop.org/article/10.1088/0960-1317/11/5/303/meta","https://scholar.google.com/scholar?cites=10587225001464874880&as_sdt=5,33&sciodt=0,33&hl=en&num=20",16,"2018-12-02","","","","",,,,,231,13.59,116,2,17
229,"L Hu, A Narayanaswamy, X Chen…","Near-field thermal radiation between two closely spaced glass plates exceeding Planck's blackbody radiation law",2008,"Applied Physics Letters","aip.scitation.org","https://aip.scitation.org/doi/abs/10.1063/1.2905286","https://scholar.google.com/scholar?cites=3262823988970814834&as_sdt=5,33&sciodt=0,33&hl=en&num=20",17,"2018-12-02","","","","",,,,,229,22.90,57,4,10
225,"CJ Fu, ZM Zhang","Nanoscale radiation heat transfer for silicon at different doping levels",2006,"International Journal of Heat and Mass Transfer","Elsevier","https://www.sciencedirect.com/science/article/pii/S0017931005006502","https://scholar.google.com/scholar?cites=6353015072603327067&as_sdt=5,33&sciodt=0,33&hl=en&num=20",18,"2018-12-02","HTML","","","",,,,,225,18.75,113,2,12
224,"G Domingues, S Volz, K Joulain, JJ Greffet","Heat transfer between two nanoparticles through near field interaction",2005,"Physical review letters","APS","https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.94.085901","https://scholar.google.com/scholar?cites=17333606463292004217&as_sdt=5,33&sciodt=0,33&hl=en&num=20",19,"2018-12-02","","","","",,,,,224,17.23,56,4,13
